nb_sommets,mesure,taille_composante,lg moyenne
0,degree,1.0,5.905479113824605
1,degree,0.46308724832214765,1.870381669039387
2,degree,0.42424242424242425,1.1814541814541815
3,degree,0.42567567567567566,1.0631699496106275
4,degree,0.2542372881355932,0.4759137553326415
5,degree,0.25510204081632654,0.46525504399712103
6,degree,0.16382252559726962,0.2853335826826874
7,degree,0.1643835616438356,0.27799745798616016
8,degree,0.14432989690721648,0.19073349922976657
9,degree,0.10344827586206896,0.1347810523803842
10,degree,0.10380622837370242,0.13321799307958476
11,degree,0.10416666666666667,0.13763066202090593
12,degree,0.10452961672473868,0.12577666236202822
13,degree,0.1048951048951049,0.12727272727272726
14,degree,0.10526315789473684,0.11569063503829997
15,degree,0.1056338028169014,0.10543472851241725
16,degree,0.10600706713780919,0.09916547627997895
17,degree,0.10638297872340426,0.09848312763433532
18,degree,0.10676156583629894,0.09700050838840875
19,degree,0.10714285714285714,0.09452124935995904
20,degree,0.1039426523297491,0.09545911657770557
21,degree,0.10431654676258993,0.09396670389320312
22,degree,0.07581227436823104,0.06367393920368336
23,degree,0.07608695652173914,0.059446640316205536
24,degree,0.06545454545454546,0.04727272727272727
25,degree,0.058394160583941604,0.0386085933531189
26,degree,0.05860805860805861,0.03881167851756087
27,degree,0.058823529411764705,0.036873236379422615
28,degree,0.05904059040590406,0.035315019816864836
29,degree,0.05925925925925926,0.03282390196888338
30,degree,0.040892193308550186,0.026188758808189536
31,degree,0.041044776119402986,0.02554642517748337
32,degree,0.03745318352059925,0.022809833572695785
33,degree,0.03759398496240601,0.02207405305717123
34,degree,0.033962264150943396,0.019611206403659234
35,degree,0.03409090909090909,0.018809770710911396
36,degree,0.034220532319391636,0.017705279656343425
37,degree,0.03435114503816794,0.017811704834605598
38,degree,0.034482758620689655,0.01783082817565576
39,degree,0.03461538461538462,0.017671517671517672
40,degree,0.03474903474903475,0.01595282990631828
41,degree,0.03488372093023256,0.014538654118782614
42,degree,0.027237354085603113,0.012889105058365758
43,degree,0.02734375,0.012561274509803922
44,degree,0.027450980392156862,0.0121661262930369
45,degree,0.027559055118110236,0.012168933428775949
46,degree,0.02766798418972332,0.011951816299642386
47,degree,0.027777777777777776,0.011730854360336431
48,degree,0.027888446215139442,0.011633466135458168
49,degree,0.028,0.011534136546184738
50,degree,0.028112449799196786,0.011335665241611607
51,degree,0.028225806451612902,0.011198902964607549
52,degree,0.02834008097165992,0.011224120338369375
53,degree,0.028455284552845527,0.01055251368840219
54,degree,0.02040816326530612,0.009133489461358314
55,degree,0.020491803278688523,0.008803885853066181
56,degree,0.0205761316872428,0.008638574295139952
57,degree,0.02066115702479339,0.008607386577963718
58,degree,0.02074688796680498,0.008437067773167358
59,degree,0.020833333333333332,0.008333333333333333
60,degree,0.02092050209205021,0.00826271931366689
61,degree,0.02100840336134454,0.00829698968194873
62,degree,0.02109704641350211,0.008224272330687264
63,degree,0.0211864406779661,0.008005769924269743
64,degree,0.02127659574468085,0.007565011820330969
65,degree,0.021367521367521368,0.007556582663878801
66,degree,0.02145922746781116,0.007473730945685955
67,degree,0.021551724137931036,0.007463800567248843
68,degree,0.017316017316017316,0.007265198569546396
69,degree,0.017391304347826087,0.007176760964495918
70,degree,0.017467248908296942,0.0070864935263924
71,degree,0.017543859649122806,0.006994358142051163
72,degree,0.01762114537444934,0.006900315777162684
73,degree,0.017699115044247787,0.006607669616519174
74,degree,0.017777777777777778,0.006507936507936508
75,degree,0.017857142857142856,0.0064061499039077515
76,degree,0.017937219730941704,0.00630226639195249
77,degree,0.018018018018018018,0.00599241775712364
78,degree,0.01809954751131222,0.005676676264911559
79,degree,0.01818181818181818,0.005354919053549191
80,degree,0.0182648401826484,0.00523647941016296
81,degree,0.01834862385321101,0.005115630152623346
82,degree,0.018433179723502304,0.0049923195084485405
83,degree,0.018518518518518517,0.004866494401378122
84,degree,0.018604651162790697,0.004738100412953705
85,degree,0.018691588785046728,0.004694835680751174
86,degree,0.018779342723004695,0.0046505447781025775
87,degree,0.018867924528301886,0.00451578288473576
88,degree,0.018957345971563982,0.004378244188670729
89,degree,0.01904761904761905,0.0042378673957621325
90,degree,0.019138755980861243,0.0038645564961354434
91,degree,0.019230769230769232,0.003808992939427722
92,degree,0.01932367149758454,0.003658364992261151
93,degree,0.014563106796116505,0.0032678190859578497
94,degree,0.014634146341463415,0.003204208512673362
95,degree,0.014705882352941176,0.0030425963488843813
96,degree,0.014778325123152709,0.002877627664244257
97,degree,0.01485148514851485,0.002758484803704251
98,degree,0.014925373134328358,0.002736318407960199
99,degree,0.015,0.0027135678391959797
